external_id,building_code,name,latitude,longitude,status,country
Hungary_HUNBUDOHQ01_HQ Budapest 01,HUNBUDOHQ01,HQ Budapest 01,47.52011,19.055035,Open,Hungary
Hungary_HUNBUDOHQ01_HQ Budapest 01,HUNBUDOHQ01,HQ Budapest 01,47.52011,19.055035,Open,Hungary
Hungary_HUNBUDOHQ02_HQ Budapest 02,HUNBUDOHQ02,HQ Budapest 02,47.53482,19.05978,Open,Hungary
Hungary_HUNBUDOHQ02_HQ Budapest 02,HUNBUDOHQ02,HQ Budapest 02,47.53482,19.05978,Open,Hungary
Hungary_HUNBUDOHQ02_HQ Budapest 02,HUNBUDOHQ02,HQ Budapest 02,47.53482,19.05978,Open,Hungary
Greece_GRCSMSOFO01_FO Samos 01,GRCSMSOFO01,FO Samos 01,37.7542,26.97954,Open,Greece
Greece_GRCATHOCO01_CO Athens 01,GRCATHOCO01,CO Athens 01,37.98102,23.75784,Open,Greece
Greece_GRCATHOCO01_CO Athens 01,GRCATHOCO01,CO Athens 01,37.98102,23.75784,Open,Greece
Switzerland_CHEGENOHQ01_HQ Geneva 01,CHEGENOHQ01,HQ Geneva 01,46.221106,6.140581,Open,Switzerland
Greece_GRCLESOSO01_SO Lesvos 01,GRCLESOSO01,SO Lesvos 01,39.111955,26.558309,Open,Greece
Libya_LBYTRLOCO01_CO Tripoli 01,LBYTRLOCO01,CO Tripoli 01,32.83605,13.064294,Open,Libya
Libya_LBYTRLOCO01_CO Tripoli 01,LBYTRLOCO01,CO Tripoli 01,32.83605,13.064294,Open,Libya
Serbia_SRBBLGOCO01_CO Belgrade 01,SRBBLGOCO01,CO Belgrade 01,44.816651,20.420965,Open,Serbia
Serbia_SRBBLGOCO01_CO Belgrade 01,SRBBLGOCO01,CO Belgrade 01,44.816651,20.420965,Open,Serbia
Serbia_SRBPRSOFU01_FU Presevo 01,SRBPRSOFU01,FU Presevo 01,42.301334,21.683063,Open,Serbia
Ecuador_ECUQITOCO01_CO Quito 01,ECUQITOCO01,CO Quito 01,0.19865,78.48141,Open,Ecuador
Zambia_ZMBLUSOCO01_CO Lusaka 01,ZMBLUSOCO01,CO Lusaka 01,-15.37333,28.39212,Open,Zambia
Zambia_ZMBLUSOCO01_CO Lusaka 01,ZMBLUSOCO01,CO Lusaka 01,-15.37333,28.39212,Closed,Zambia
Thailand_THAMSOOFO01_FO Mae Sot 01,THAMSOOFO01,FO Mae Sot 01,16.70401,98.57213,Open,Thailand
Zambia_ZMBKAWOFO01_FO Kawambwa 01,ZMBKAWOFO01,FO Kawambwa 01,-9.79431,29.08012,Open,Zambia
