bc,sn
,
AFGBAMOFU01,00980849
AFGGRDOFO01,00980E18
AFGHEROFO01,00980845
AFGJALOSO01,"0098087B,0098087C,00980DCD,00980E1F,00980E29,00980E2A"
AFGKABGGH01,00980892
AFGKABOCO01,"00980890,00980891"
AFGKANOSO01,"00980848,00980DAA"
AFGKUNOFU01,00980981
AFGMAZOSO01,"00980893,00980894"
AGODUNOFO01,00980741
AGOLUAOCO01,00980757
AREABDOCO01,0098083F
AREDBIOFO01,00980B19
ARGBUEOMC01,0098086F
AUSCNBOMC01,00980DC6
BDIBUJOCO01,00980846
BDIMAKOFO01,00980B86
BDIMUYOFO01,00980DC5
BDIRUYOSO01,00980DEC
BELBRUOMC01,009808F6
BFADOROSO01,00980DDC
BFAFGMOFO01,00980DB9
BFAKAYOSO01,00980DBA
BFAOUAONO01,0098083E
BFAOUGOFO01,00980DD0
BGDCOXOSO01,"0098092D,00980B1A,00980B27"
BGDDHAOCO01,"009808D8,009808D9,0098092C"
BGRSOFOCO01,009809AE
BIHSAROCO01,"009808B6,00980B64"
BLRMINOCO01,0098089F
BLZBLOONO01,00980DDF
BRABOAOSO01,00980923
BRABRSOCO01,009807B5
BRAMANOFU01,0098098D
BRAPACOFU01,00980935
BWADUKOFO01,00980866
CAFBEBOFO01,00980B2C
CAFBNGOCO01,00980889
CAFBOUOSO01,00980B34
CAFKAGOFO01,00980B36
CAFMGBOFU01,00980B2A
CAFOBOOFU01,00980B37
CHEGENOHQ01,"00980742,00980760"
CIVABIOCO01,009807B3
CMRBAEOSO01,00980A14
CMRBATOFU01,00980A0C
CMRBEAOFO01,00980A13
CMRBTUOSO01,00980A0A
CMRDJOOFU01,009809FD
CMRDOUOFO01,00980A15
CMRKOUOFO01,00980A0D
CMRMEIOFO01,00980A09
CMRMRUOSO01,00980A0B
CMRTOUOFU01,009809FC
CMRYAOOMC01,00980860
CMRYAOOMC02,00980A16
CODARUOSO01,009808DC
CODBARGGH01,00980DBB
CODBAROFO01,00980E08
CODBENOFO01,00980E0B
CODBILOFO01,00980953
CODBUKOFO01,009808DD
CODBUNOFO01,"00980954,00980E11"
CODFRCOFO01,00980B33
CODGBAOSO01,00980B31
CODGOMOSO01,0098091B
CODKALOSO01,"009808DE,00980E10"
CODKINOCO01,"00980B24,00980E1C"
CODKINOCO02,00980B78
CODKNGOSO01,"00980DB4,00980E09"
CODLIBOFO01,00980B2F
CODTSHOFO01,"00980984,00980E13"
CODUVIOFO01,"00980DCB,00980E0D"
CODYAKOFO01,00980ABB
COGBETOFO01,00980B5E 
COGBRZOCO01,0098075B
COGGMBOFO01,0098078A
COLAPAOFO01,00980A3D
COLARAOFO01,00980A51
COLBCROFU01,00980A31
COLBNVOFU01,00980A34
COLBOGOCO01,00980842
COLBOGOFO01,00980DD8
COLBRQOFO01,"00980A35,00980A48"
COLCALOSO01,00980841
COLCUCOSO01,00980843
COLIPIOFU01,00980A36
COLMAIOFU01,00980A2D
COLMEDOSO01,00980A2F
COLMOCOFU01,00980A30
COLPASOFO01,00980A47
COLPOPOFU01,00980DD9
COLQIBOFO01,00980A1C
COLRIOOSO01,00980A33
CRICRNOFO01,00980DDE
CRIJOSOCO01,00980786
CRIJOSOFU01,00980780
CRIUPAOFO01,00980787
CYPNICOCO01,0098089B
DJIALIOFO01,00980639
DJIDJBOCO01,"0098063D,00980640,00980641,00980644,00980645,0098064C,0098064D,0098064E"
DJIOBKOFO01,0098064A
DOMSDMOOC01,0098086E
DZAALGOCO01,00980A69
DZARABOFU01,00980A67
DZATINOFO01,00980A68
DZATINOSO01,00980A66
ECUAMBOFU01,00980957
ECUCUEOFU01,"0098092A,0098092B"
ECUESMOFO01,"00980910,00980931"
ECUGAYOSO01,"00980911,00980937"
ECUHUAOFO01,"00980912,00980929,00980958"
ECUIBAOSO01,"00980957,00980959"
ECULAGOFO01,00980927
ECUQITOCO01,"00980836,00980840,00980844,0098090E,0098090F"
ECUQITOSO01,"0098083A,00980926"
ECUTULOFO01,"00980921,00980932"
EGYALEOFO01,00980A97
EGYCAIOCO01,00980A39
EGYCAIOCO02,00980A38
EGYCAIOFO01,00980A49
ERIASMOCO01,"0098097B,00980A6A,00980A6B"
ESHLAAOLO01,00980834
ETHABROFU01,009807D8
ETHASAGGH01,"0098082A,0098082F"
ETHASAOSO01,"009807D4,0098082B"
ETHDIMOFU01,009807C4
ETHDIROFO01,00980828
ETHGAMOSO01,00980B85
ETHJIJGGH01,0098082E
ETHJIJOSO01,00980826
ETHKEBOFU01,0098082D
ETHMELOSO01,00980827
ETHPUGOFO01,00980B75
ETHSHEOFU01,00980830
ETHSHIOSO01,00980B38
ETHSHKGGH01,"00980829,0098082C"
ETHSHKOFU01,"00980829,0098082C"
FRAPAROCO01,00980952
GABLBVOLO01,009809DA
GBRLONOCO01,009807DB
GEOTBIOCO01,00980753
GHAACCOCO01,00980875
GHATAKOFO01,00980985
GRCATHOCO01,"00980877,00980878,00980879,0098087D,00980881,00980885,00980897,0098089C"
GRCCHIOFU01,00980988
GRCKWSOFO01,00980989
GRCLESOSO01,0098097F
GRCOREOFU01,0098097E
GRCSMSOFO01,0098097C
GRCTHSOFO01,"0098097A,00980986,00980987	"
GTMESQOFU01,00980AC2
GTMGUCOCO01,"00980AB8,00980ADE,00980AE3,00980AEC,00980AF1"
GTMGUCOCO02,"00980AB9,00980ADF"
GTMGUCOCO03,"00980AB7,00980AE6,00980AEE"
GTMPUEOFU01,00980AF5
GTMSELOFU01,00980AC8
GTMTECOFU01,00980AC3
HNDCHOOFU01,00980B21
HNDOCOOFU01,00980B17
HNDSPSOFO01,00980899
HNDTEGOCO01,"00980898,009808C0"
HRVZAGOCO01,00980861
HUNBUDOHQ01,00980B22
HUNBUDOHQ02,"009808E3,00980901,00980902,0098090A,0098090B,0098090C,00980915,00980916,0098093B"
HUNBUDOMC01,0098093A
IDNJAKOCO01,"00980856,00980DA2"
INDCNIOFO01,00980832
INDNDEOCO01,00980833
IRNDOGOFU01,009808BE
IRNESFOFU01,009808BF
IRNKEROSO01,009808BC
IRNMASOSO01,009808D5
IRNSHROSO01,009808BD
IRNTEHOCO01,009808AF
IRQBAGOCO01,009808E0
IRQERBOCO01,009808E1
IRQKIROFO01,00980A9B
ISRTELOFO01,009809F7
ITAROMOMC01,"00980873,009808E5"
JORAMMOCO01,00980A37
JORAMMORB01,00980847
JORAZROFO01,009808F7
JORIRBOFO01,00980967
JORMAFOSO01,00980A76
JORMAFOSO02,00980982
JORRASOSO01,009809A8
JORRMTRRC01,00980978
JPNTOKOCO01,"00980888,00980AFF,00980B28,00980B63"
KAZALMOMC01,00980781
KAZASTONO01,00980822
