Begin,End,wh,L1/kwh,L2/kwh
2023-08-01 00:00,2023-08-01 00:15,1933,0.941541645,0
2023-08-01 00:15,2023-08-01 00:30,1884,0.382165605,0
2023-08-01 00:30,2023-08-01 00:45,1908,0.759958071,0
2023-08-01 00:45,2023-08-01 01:00,1938,0.753353973,0
2023-08-01 01:00,2023-08-01 01:15,1905,0.761154856,0
2023-08-01 01:15,2023-08-01 01:30,1920,0.567708333,0
2023-08-01 01:30,2023-08-01 01:45,1903,0.761954808,0
2023-08-01 01:45,2023-08-01 02:00,1901,0.762756444,0
2023-08-01 02:00,2023-08-01 02:15,1876,0.772921109,0
2023-08-01 02:15,2023-08-01 02:30,1915,0.757180157,0
2023-08-01 02:30,2023-08-01 02:45,1889,0.767601906,0
2023-08-01 02:45,2023-08-01 03:00,1873,0.779498131,0
2023-08-01 03:00,2023-08-01 03:15,1869,0.577849117,0
2023-08-01 03:15,2023-08-01 03:30,1883,0.775358471,0
2023-08-01 03:30,2023-08-01 03:45,1926,0.560747664,0
2023-08-01 03:45,2023-08-01 04:00,1884,0.578556263,0
2023-08-01 04:00,2023-08-01 04:15,1877,0.772509323,0
2023-08-01 04:15,2023-08-01 04:30,1906,0.954879328,0
2023-08-01 04:30,2023-08-01 04:45,1864,0.584763948,0
2023-08-01 04:45,2023-08-01 05:00,2334,0.621251071,0
2023-08-01 05:00,2023-08-01 05:15,2718,0.5334805,0
2023-08-01 05:15,2023-08-01 05:30,2455,0.443991853,0
2023-08-01 05:30,2023-08-01 05:45,2001,0,0
2023-08-01 05:45,2023-08-01 06:00,1876,0,0
2023-08-01 06:00,2023-08-01 06:15,2186,0,0
2023-08-01 06:15,2023-08-01 06:30,2154,0,0
2023-08-01 06:30,2023-08-01 06:45,2052,0,0
2023-08-01 06:45,2023-08-01 07:00,2077,0,0
2023-08-01 07:00,2023-08-01 07:15,2259,0,0
2023-08-01 07:15,2023-08-01 07:30,2569,1.413001168,0
2023-08-01 07:30,2023-08-01 07:45,2939,0.244981286,0
2023-08-01 07:45,2023-08-01 08:00,3106,0.470057952,0
2023-08-01 08:00,2023-08-01 08:15,3459,0.312228968,0
2023-08-01 08:15,2023-08-01 08:30,3839,0.567856213,0
2023-08-01 08:30,2023-08-01 08:45,4466,0.324675325,0
2023-08-01 08:45,2023-08-01 09:00,4789,0.380037586,0
2023-08-01 09:00,2023-08-01 09:15,4716,0.38379983,0
2023-08-01 09:15,2023-08-01 09:30,4802,0.453977509,0
2023-08-01 09:30,2023-08-01 09:45,4698,0.15538527,0
2023-08-01 09:45,2023-08-01 10:00,4439,0.48884884,0
2023-08-01 10:00,2023-08-01 10:15,3506,0.621791215,0
