index,MSRP_ASSET_ID,INTERFACE_LINE_NUMBER,ASSET_BOOK,ASSET_NUMBER,ASSET_DESCRIPTION,TAG_NUMBER,MANUFACTURER,SERIAL_NUMBER,MODEL_,ASSET_TYPE,ASSET_COST,DATE_PLACED_IN_SERVICE,PRORATE_CONVENTION,ASSET_UNITS,ASSET_CATEGORY_SEGMENT1,ASSET_CATEGORY_SEGMENT2,INV_GROUP_DESC,PROFILE_DESC,CATEGORY_DESC,VENDOR_ID,VENDOR_NAME,VENDOR_CLASS,AR_NUM,POSTING_STATUS,QUEUE_NAME,ASSET_KEY_SEGMENT1,ASSET_KEY_SEGMENT2,ASSET_KEY_SEGMENT3,IN_PHYSICAL_INVENTORY,IN_USE,ASSET_OWNERSHIP,BOUGHT,DEPRECIATE,YTD_DEPRECIATION,DEPRECIATION_RESERVE,DEPRECIATION_METHOD_,LIFE_IN_MONTHS,INVOICE_COST,COST_CLEARING_ACCOU_SEGMENT1,COST_CLEARING_ACCOU_SEGMENT2,COST_CLEARING_ACCOU_SEGMENT3,COST_CLEARING_ACCOU_SEGMENT4,COST_CLEARING_ACCOU_SEGMENT5,COST_CLEARING_ACCOU_SEGMENT6,COST_CLEARING_ACCOU_SEGMENT7,COST_CLEARING_ACCOU_SEGMENT8,ATTRIBUTE2,ATTRIBUTE_DATE1,AI_ATTRIBUTE2,GROUP_ASSET_NUMBER,MSRP_CATEGORY_ID,MSRP_PROFILE_ID,MSRP_ITEM_ID,MSRP_ASSET_BOOK,MSRP_ASSET_ID_1,INTERFACE_LINE_NUMBER_1,ASSET_DESCRIPTION_,AR_NUM_1,UNIT_ASSIGNED,EMPLOYEE_EMAIL_ADDRESS,ASSET_LOCATION_SEGMENT1,ASSET_LOCATION_SEGMENT2,DEPRECIATION_EXP_ACC_SEGMENT1,DEPRECIATION_EXP_ACC_SEGMENT2,DEPRECIATION_EXP_ACC_SEGMENT3,DEPRECIATION_EXP_ACC_SEGMENT4,DEPRECIATION_EXP_ACC_SEGMENT5,DEPRECIATION_EXP_ACC_SEGMENT6,DEPRECIATION_EXP_ACC_SEGMENT7,DEPRECIATION_EXP_ACC_SEGMENT8
2006,85934,85934,UNHCR_ASSET_BOOK,85934,"GENERATOR 10 KWA, DIESEL",85934,GENERAC,3000694152,"Generator 10 KWA, Diesel",CAPITALIZED,12259.75,2016-11-24,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,POWER GENERATORS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN SERVICE,YES,YES,OWNED,NEW,YES,0,12259.75,STL,60,12259.75,110,0,991010,0,0,0,0,0,,2016-11-24,EP-GN-10149, ,503,GENERAT_60,4556,UNHCR,85934,85934,"GENERATOR 10 KWA, DIESEL",,1, ,CRI-SAN-SAN-BXX-001,DEFAULT,110,0,711020,0,0,0,0,0
3347,121978,121978,UNHCR_ASSET_BOOK,121978,"GEN, PERKINS, 45 KVA PRIME",121978,FG WILSON,FGWFD409KNLX20131, ,CAPITALIZED,15397.31,2016-12-29,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,WATER COOLED POWER GENERATORS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN SERVICE,YES,YES,OWNED,NEW,YES,0,15397.31,STL,60,15397.31,110,0,991010,0,0,0,0,0,,2016-12-29,EP-GN-10152, ,505,GENERAT_60,7150,UNHCR,121978,121978,"GEN, PERKINS, 45 KVA PRIME",,1, ,NGA-BOR-MAI-BXX-001,MAI WAREHOUSE,110,0,711020,0,0,0,0,0
1976,278661,278661,UNHCR_ASSET_BOOK,278661,"GEN,PERKINS, 80 KVA, WATER COO",278661, ,1610 117161116 0668, ,CAPITALIZED,14910,2017-04-11,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,WATER COOLED POWER GENERATORS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,DAMAGED,YES,YES,OWNED,NEW,YES,0,14910,STL,60,14910,110,0,991010,0,0,0,0,0,,2017-04-11,EP-GN-10006, ,505,GENERAT_60,5644,UNHCR,278661,278661,"GEN,PERKINS, 80 KVA, WATER COO",,1, ,GIN-CON-CON-BXX-001,CON 100,110,0,711020,0,0,0,0,0
3179,278662,278662,UNHCR_ASSET_BOOK,278662,"GEN,PERKINS, 80 KVA, WATER COO",278662, ,1610 117 161116 0669, ,CAPITALIZED,14910,2017-04-11,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,WATER COOLED POWER GENERATORS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,DAMAGED,YES,YES,OWNED,NEW,YES,0,14910,STL,60,14910,110,0,991010,0,0,0,0,0,,2017-04-11,EP-GN-10006, ,505,GENERAT_60,5644,UNHCR,278662,278662,"GEN,PERKINS, 80 KVA, WATER COO",,1, ,GIN-CON-CON-BXX-001,CON 100,110,0,711020,0,0,0,0,0
1979,417332,417332,UNHCR_ASSET_BOOK,417332,GENERATOR,417332,Ariakarasanat Co.,9512LOPG080084,AKS80-L,CAPITALIZED,8507.72,2017-03-13,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 60,POWER GENERATORS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN SERVICE,YES,YES,OWNED,NEW,YES,0,8507.72,STL,60,8507.72,110,0,991010,0,0,0,0,0,,2017-03-13,EP-GN-10009, ,503,STI_60,7567,STI,417332,417332,GENERATOR,,1, ,IRN-RAZ-MAS-BXX-001,DEFAULT,110,0,711020,0,0,0,0,0
1980,436681,436681,UNHCR_ASSET_BOOK,436681,GENERATOR,436681,Yamaha,300244,YAMAHA 3.3KVA,CAPITALIZED,894.73,2016-08-10,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 60,POWER GENERATORS,10101,UNHCR - PROGRAMME,C, ,POST,POST,UNHCR,UNHCR STAFF,IN SERVICE,YES,YES,OWNED,NEW,YES,0,894.73,STL,60,894.73,110,0,991010,0,0,0,0,0,,2016-08-10,EP-GN-10009, ,503,STI_60,7567,STI,436681,436681,GENERATOR,,1, ,LKA-WES-COL-BXX-001,DEFAULT,110,0,711020,0,0,0,0,0
3182,500183,500183,UNHCR_ASSET_BOOK,500183,GENERATOR,500183, ,C000005287, ,CAPITALIZED,5000,2016-11-02,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 60,POWER GENERATORS,2052,UNHCR,C, ,POST,POST,UNHCR,UNHCR,IN SERVICE,YES,YES,OWNED,NEW,YES,0,5000,STL,60,5000,110,0,991010,0,0,0,0,0,,2016-11-02,EP-GN-10009, ,503,STI_60,7567,STI,500183,500183,GENERATOR,,1, ,SDN-EAS-ELX-BXX-001,DEFAULT,110,0,711020,0,0,0,0,0
1982,500184,500184,UNHCR_ASSET_BOOK,500184,GENERATOR,500184, ,35640090050, ,CAPITALIZED,5000,2016-11-02,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 60,POWER GENERATORS,37274,COMMISSIONER FOR REFUGEES,P, ,POST,POST,OTHER,37274,IN SERVICE,YES,YES,OWNED,NEW,YES,0,5000,STL,60,5000,110,0,991010,0,0,0,0,0,,2016-11-02,EP-GN-10009, ,503,STI_60,7567,STI,500184,500184,GENERATOR,,1, ,SDN-SOU-NYA-BXX-001,DEFAULT,110,0,711020,0,0,0,0,0
1983,500186,500186,UNHCR_ASSET_BOOK,500186,"GENERATOR, FG WILSON, WC 45 KV",500186,UK MADE,DN3-AJ50P1,DN3-AJ50P1,CAPITALIZED,18124.12,2016-12-20,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,WATER COOLED POWER GENERATORS,169269,KABKABIYA HOSPITAL,P, ,POST,POST,OTHER,169269,IN SERVICE,YES,YES,OWNED,NEW,YES,0,18124.12,STL,60,18124.12,110,0,991010,0,0,0,0,0,,2016-12-20,EP-GN-10129, ,505,GENERAT_60,6647,UNHCR,500186,500186,"GENERATOR, FG WILSON, WC 45 KV",,1, ,SDN-NOR-ELX-BXX-001,DEFAULT,110,0,711020,0,0,0,0,0
3183,500455,500455,UNHCR_ASSET_BOOK,500455,"GEN, PERKINS, 30 KVA STAND BY ",500455, ,DK51278B, ,CAPITALIZED,17000,2017-02-06,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,WATER COOLED POWER GENERATORS,10101,UNHCR - PROGRAMME,C, ,POST,POST,UNHCR,UNHCR STAFF,IN SERVICE,YES,YES,OWNED,NEW,YES,0,17000,STL,60,17000,110,0,991010,0,0,0,0,0,,2017-02-06,EP-GN-10154, ,505,GENERAT_60,5622,UNHCR,500455,500455,"GEN, PERKINS, 30 KVA STAND BY ",,1, ,SDN-KHA-KHA-BXX-001,DEFAULT,110,0,711020,0,0,0,0,0
1984,500456,500456,UNHCR_ASSET_BOOK,500456,"GEN, PERKINS, 45 KVA PRIME",500456, ,DJ320034472895B, ,CAPITALIZED,20000,2017-02-06,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,WATER COOLED POWER GENERATORS,37274,COMMISSIONER FOR REFUGEES,P, ,POST,POST,OTHER,37274,IN SERVICE,YES,YES,OWNED,NEW,YES,0,20000,STL,60,20000,110,0,991010,0,0,0,0,0,,2017-02-06,EP-GN-10152, ,505,GENERAT_60,7150,UNHCR,500456,500456,"GEN, PERKINS, 45 KVA PRIME",,1, ,SDN-SOU-KAD-BXX-001,DEFAULT,110,0,711020,0,0,0,0,0
3191,501870,501870,UNHCR_ASSET_BOOK,501870,"GENERATOR, SDMO 16 KVA K16",501870,SDMO,T16K15014260,Diesel 16 KVA,CAPITALIZED,12050,2016-10-25,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,POWER GENERATORS,37274,COMMISSIONER FOR REFUGEES,P, ,POST,POST,OTHER,37274,IN SERVICE,YES,YES,OWNED,NEW,YES,0,12050,STL,60,12050,110,0,991010,0,0,0,0,0,,2016-10-25,EP-GN-10169, ,503,GENERAT_60,6975,UNHCR,501870,501870,"GENERATOR, SDMO 16 KVA K16",,1, ,SDN-KAS-KAS-BXX-001,397,110,0,711020,0,0,0,0,0
1987,501871,501871,UNHCR_ASSET_BOOK,501871,"GENERATOR, SDMO 16 KVA K16",501871,SDMO,T16K15014261,Diesel 16 KVA,CAPITALIZED,12050,2016-10-25,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,POWER GENERATORS,37274,COMMISSIONER FOR REFUGEES,P, ,POST,POST,OTHER,37274,IN SERVICE,YES,YES,OWNED,NEW,YES,0,12050,STL,60,12050,110,0,991010,0,0,0,0,0,,2016-10-25,EP-GN-10169, ,503,GENERAT_60,6975,UNHCR,501871,501871,"GENERATOR, SDMO 16 KVA K16",,1, ,SDN-KAS-KAS-BXX-001,369,110,0,711020,0,0,0,0,0
3192,501872,501872,UNHCR_ASSET_BOOK,501872,"GENERATOR, SDMO 16 KVA K16",501872,SDMO,T16K15014262,Diesel 16 KVA,CAPITALIZED,12050,2016-10-25,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,POWER GENERATORS,37274,COMMISSIONER FOR REFUGEES,P, ,POST,POST,OTHER,37274,IN SERVICE,YES,YES,OWNED,NEW,YES,0,12050,STL,60,12050,110,0,991010,0,0,0,0,0,,2016-10-25,EP-GN-10169, ,503,GENERAT_60,6975,UNHCR,501872,501872,"GENERATOR, SDMO 16 KVA K16",,1, ,SDN-GED-GED-BXX-001,GED 003,110,0,711020,0,0,0,0,0
1988,501873,501873,UNHCR_ASSET_BOOK,501873,"GENERATOR, PERKINS, WC/25 KVA",501873,FG Willson,FGWPEP42KMWP05465,PERKINS 22 KVA,CAPITALIZED,12500,2016-12-06,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,WATER COOLED POWER GENERATORS,37274,COMMISSIONER FOR REFUGEES,P, ,POST,POST,OTHER,37274,IN SERVICE,YES,YES,OWNED,NEW,YES,0,12500,STL,60,12500,110,0,991010,0,0,0,0,0,,2016-12-06,, ,505,GENERAT_60,5080,UNHCR,501873,501873,"GENERATOR, PERKINS, WC/25 KVA",,1, ,SDN-KAS-KAS-BXX-001,369,110,0,711020,0,0,0,0,0
1989,501874,501874,UNHCR_ASSET_BOOK,501874,"GENERATOR, PERKINS, WC/25 KVA",501874,FG Willson,FGWPEP42KMWP05469,PERKINS 22 KVA,CAPITALIZED,12500,2016-12-06,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,FIXED ASSETS / PPE,GENERATORS 60,WATER COOLED POWER GENERATORS,37274,COMMISSIONER FOR REFUGEES,P, ,POST,POST,OTHER,37274,IN SERVICE,YES,YES,OWNED,NEW,YES,0,12500,STL,60,12500,110,0,991010,0,0,0,0,0,,2016-12-06,, ,505,GENERAT_60,5080,UNHCR,501874,501874,"GENERATOR, PERKINS, WC/25 KVA",,1, ,SDN-KAS-KAS-BXX-001,396,110,0,711020,0,0,0,0,0
3193,501875,501875,UNHCR_ASSET_BOOK,501875,GENERATOR,501875,YANMAR,C000005673,YANMAR 6.5 KVA,CAPITALIZED,5200,2016-12-06,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 60,POWER GENERATORS,37274,COMMISSIONER FOR REFUGEES,P, ,POST,POST,OTHER,37274,IN SERVICE,YES,YES,OWNED,NEW,YES,0,5200,STL,60,5200,110,0,991010,0,0,0,0,0,,2016-12-06,EP-GN-10009, ,503,STI_60,7567,STI,501875,501875,GENERATOR,,1, ,SDN-KAS-KAS-BXX-001,321,110,0,711020,0,0,0,0,0
3353,501876,501876,UNHCR_ASSET_BOOK,501876,GENERATOR,501876,YANMAR,C000005788,YANMAR 6.5 KVA,CAPITALIZED,5200,2016-12-06,HCR PRORAT,1,POWER GENERATION,GENERATORS AND SOLAR PANELS,SERIALLY-TRACKED ITEMS,SERIALLY-TRACKED ITEMS 60,POWER GENERATORS,10101,UNHCR - PROGRAMME,C, ,POST,POST,UNHCR,UNHCR STAFF,IN SERVICE,YES,YES,OWNED,NEW,YES,0,5200,STL,60,5200,110,0,991010,0,0,0,0,0,,2016-12-06,EP-GN-10009, ,503,STI_60,7567,STI,501876,501876,GENERATOR,,1, ,SDN-KAS-KAS-BXX-001,366,110,0,711020,0,0,0,0,0
