starttime,endtime,"Thank you for taking a moment to fill out this survey on the stationary generators which are present at your location. This information is crucial for UNHCR to understand what generator assets the organization has globally, as well as to carry out its sustainability initiatives. Note that this survey requires you to take two photos of each generator, so you should open this link on a web browser (e.g. Google Chrome, Safari or Internet Explorer) on your mobile phone.",Select your region:,Select your country:,"If ""Other"", please specify your country",Select your location:,"If ""Other"", please specify your city",How many generators do you have at this location?,"Thank you for completing the survey! If you oversee more than one location, please complete the form for the generators at the other locations which are relevant for you.",Generator Asset Number (CloudERP):,Please take a photo of the generator nameplate,Please take a photo of the generator nameplate_URL,Please take a photo of the generator control screen,Please take a photo of the generator control screen_URL,kVA Rating:,Generator Make (Brand):,"If ""Other"", please specify make:",Generator Manufacturer (Engine):,"If ""Other"", please specify manufacturer (Engine):",Generator Model:,"If ""Other"", please specify model:",_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-02-06T13:55:00.228+03:00,2024-02-06T11:58:49.096+03:00,,MENA,Iraq,,Suleimaniyah,,4,,,,,,,,,,,,,,41667404,02412ee7-e054-4e23-9de6-fe445fe72d83,2024-02-06T10:55:02,,,submitted_via_web,,vNSPx7hAw8fGV75PERkkvm,,1
2023-12-06T13:49:45.292-06:00,2023-12-06T11:55:10.296-06:00,,Americas,Costa Rica,,San Jos‚,,1,,,,,,,,,,,,,,37852421,605f7314-bd2f-4433-8ebe-450872752411,2023-12-06T19:52:54,,,submitted_via_web,,vDHFtEdRAxyJUWHSZ3j7jr,,2
2023-12-06T14:27:23.270-06:00,2023-12-06T13:49:45.339-06:00,,Americas,Costa Rica,,San Jos‚,,1,,,,,,,,,,,,,,37853358,091bd8da-5b8f-428f-a891-3e2a2356b7bd,2023-12-06T20:30:32,,,submitted_via_web,,vDHFtEdRAxyJUWHSZ3j7jr,,3
2023-12-07T10:19:25.560+02:00,2023-12-07T09:50:44.207+02:00,,Europe,Ukraine,,Vinnytsia,,2,,,,,,,,,,,,,,37883274,56ef7ef9-503e-423c-a802-e9430be78158,2023-12-07T08:19:26,,,submitted_via_web,,vDHFtEdRAxyJUWHSZ3j7jr,,4
2023-12-07T10:42:04.723+01:00,2023-12-07T10:33:53.960+01:00,,West Africa,Nigeria,,Abuja,,2,,,,,,,,,,,,,,37897843,5034f9e7-5608-4377-ae24-6ee785e78928,2023-12-07T09:42:09,,,submitted_via_web,,vDHFtEdRAxyJUWHSZ3j7jr,,5
2023-12-07T13:33:39.576+03:00,2023-12-07T13:16:15.115+03:00,,MENA,Iraq,,Erbil,,632740,,,,,,,,,,,,,,37907979,9507c19f-e521-466f-a57c-82bb0ec17fe4,2023-12-07T10:33:40,,,submitted_via_web,,vDHFtEdRAxyJUWHSZ3j7jr,,6
2023-12-07T13:13:07.260+02:00,2023-12-06T14:35:22.557+02:00,,Southern Africa,Zambia,,Lusaka,,1,,,,,,,,,,,,,,37913224,c416ab53-1cc1-4b31-948a-fc0f73bf3630,2023-12-07T11:13:08,,,submitted_via_web,,vDHFtEdRAxyJUWHSZ3j7jr,,7
2023-12-07T16:11:20.849+02:00,2023-12-07T16:10:10.064+02:00,,Southern Africa,Zimbabwe,,Harare,,0,,,,,,,,,,,,,,37933194,f3937143-fcd0-4967-bac0-9a98c116bc89,2023-12-07T14:11:20,,,submitted_via_web,,vDeNpon2MUcox5k2pYcbdj,,8
2023-12-07T13:11:53.902+01:00,2023-12-07T10:42:04.784+01:00,,West Africa,Nigeria,,FO Lagos,,2,,,,,,,,,,,,,,37920283,2d2a7b80-a96e-47f3-b76a-8699a0fc42ed,2023-12-07T12:11:56,,,submitted_via_web,,vDHFtEdRAxyJUWHSZ3j7jr,,9
2023-12-07T15:11:24.013-06:00,2023-12-06T14:27:23.316-06:00,,Americas,Costa Rica,,Upala,,1,,,,,,,,,,,,,,37955922,e9f6721f-34e9-423d-b2f8-d7d86e14ac7b,2023-12-07T21:14:33,,,submitted_via_web,,vDHFtEdRAxyJUWHSZ3j7jr,,10
2023-12-07T21:02:01.239-05:00,2023-12-07T20:53:53.437-05:00,,Americas,Ecuador,,Lago Agrio,,1,,,,,,,,,,,,,,37966003,a0801365-d437-476b-9f20-6e45dd84a627,2023-12-08T05:49:29,,,submitted_via_web,,vDeNpon2MUcox5k2pYcbdj,,11
2023-12-08T00:55:14.630-05:00,2023-12-07T21:02:01.297-05:00,,Americas,Ecuador,,Lago Agrio,,1,,,,,,,,,,,,,,37966098,f1aec900-9294-4401-b98e-bab93b29abf1,2023-12-08T05:55:15,,,submitted_via_web,,vDeNpon2MUcox5k2pYcbdj,,12
2023-12-08T11:13:46.811+02:00,2023-12-08T10:55:06.914+02:00,,Europe,Ukraine,,Dnipropetrovsk,,1,,,,,,,,,,,,,,37977100,36ba9e3d-dd1f-40af-aba8-7430c4b7cc9a,2023-12-08T09:14:33,,,submitted_via_web,,vDeNpon2MUcox5k2pYcbdj,,13
