original_filename,page,file_url,platform_link,starts,text,hours,asset_id,hours_num
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F21ec21a9-3f42-460b-9880-504fb1ba381c%2F98-15_42_34.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/30306f0f-a7c3-4a95-a9d9-224cb083f5ac.jpeg?expires=1711738818&or=0&s=ce9f72c16bdca7da14c17f2536592a5d,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/fbe4872d-ed30-11ee-ba48-52f8dd295e24,1083,"Engine  Run   Time
				 992h  46m							 A
   1083 Start ( s )",992h 46m,,992
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F21ec21a9-3f42-460b-9880-504fb1ba381c%2F5_2-15_41_1.jpeg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/272ff548-4ebf-478b-820e-cbef868abfdb.jpeg?expires=1711738818&or=0&s=8cfc265fadf9a3a2e7313d743808e7ad,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/fb929739-ed30-11ee-a8d2-4e69b49d15d5,2803,Deep Sea Electronics Engine Run Time 3128h27m 2803 Start ( s ) . AUTO ER NE IS TROLLED START,3128h27m,,3128
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d43558-6f16-4ab4-9805-8ace4e6878b1%2FWhatsApp_Image_2024-01-24_at_10.38.41_5e71bd6e-15_0_1.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/c756e32c-e16b-4229-8658-8fd5f87aaf54.jpeg?expires=1711738818&or=0&s=08df642766a48e7d523949d7f32fb574,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/f9bd7b80-ed30-11ee-ba2e-52f8dd295e24,2760,lectronics Engine Run Time 6373h 5m 2760 Start ( s ) AUTO,6373h 5m,,6373
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d43558-6f16-4ab4-9805-8ace4e6878b1%2FWhatsApp_Image_2024-01-24_at_10.00.40_7c09db33-15_10_47.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/26ab06d5-2699-4fab-873e-4226453cde4d.jpeg?expires=1711738818&or=0&s=6cb39b133e3c90b6ddeb54d58892510e,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/f922d20a-ed30-11ee-ba21-52f8dd295e24,,( m ) 751793 UNHCR B DSE Deep Sea Electronics 736h 12m O TAUTO Stop Auto Start,736h12m,751793,
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d43558-6f16-4ab4-9805-8ace4e6878b1%2FWhatsApp_Image_2024-01-24_at_10.00.40_7c09db33-15_10_47.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/26ab06d5-2699-4fab-873e-4226453cde4d.jpeg?expires=1711738818&or=0&s=6cb39b133e3c90b6ddeb54d58892510e,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/f922d20a-ed30-11ee-ba21-52f8dd295e24,,( m ) 751793 UNHCR B DSE Deep Sea Electronics 736h 12m O TAUTO Stop Auto Start,736h12m,751793,736
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d43558-6f16-4ab4-9805-8ace4e6878b1%2FWhatsApp_Image_2024-01-23_at_10.25.06_f4923ea4-15_26_4.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/7376dd12-e36e-466e-8eae-e929323e2a7d.jpeg?expires=1711738818&or=0&s=c534c4120f28322722995e09c79ea748,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/f7f84d70-ed30-11ee-ba19-52f8dd295e24,1415,DSE Deep Sea Electronics Engine Run Time 2821h 18m 1415 Start ( s ),2821h 18m,,2821
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d43558-6f16-4ab4-9805-8ace4e6878b1%2FIMG_3560-15_53_32.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/07115b05-3e10-415c-9cab-718658f3e821.jpeg?expires=1711738818&or=0&s=3e600e846e3a557193c88709d902fb86,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/f7e9e7c4-ed30-11ee-9c66-4aca75adb6cb,,"BRHA . UNHCR . IT . 01046

TEKSAN T T T
GENERATOR

885 998 . ALARMS

B OIL PRESS . 1 CO
LEV
点 HIGH TEMP . * BATT
A- 長 L SPEED 0 CHAR
FAULT FAIL
表 HIGH OIL + * RECTIF
TEMP .
START FAIL + EMERG
Hz STOP FAIL STOP
טין LOW FUEL J1939 ECU FAIL
kW E A
At OVERLOAD SPARE
rpm Vdc VN VOLTAGE * SERVICE
REQUEST
O
A

MENU TEST RUN AUTO STOP

OP",,,
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d43558-6f16-4ab4-9805-8ace4e6878b1%2FIMG_3558-14_40_38.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/f404778f-4e94-4fa5-91e2-df2df9901f4c.jpeg?expires=1711738818&or=0&s=a13a78bed0de4e04b29ed53af7b6e5e7,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/f78f3383-ed30-11ee-a447-221e535af36b,,Generator Controller Model 720 DAQCN® 00668 h ! K vt T KKK THE HOURMETER V ↓ - AUTO CONTROL MODULE EMERGENCY STOP,,,
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d43558-6f16-4ab4-9805-8ace4e6878b1%2FIMG_3557-14_36_9.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/e612ca6f-80b5-4b6b-90ef-a0aff3d8cd39.jpeg?expires=1711738818&or=0&s=e449be09864baa924e0a059138adccaf,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/f536520a-ed30-11ee-97dc-161cfd66d21b,,DSE Deep Sea Electronics 3484h 18m O AUTO I Stop Auto Start,3484h18m,,3484
media_file=fifield%2Fattachments%2Fb0b534743414482c9addd247d3ca241e%2F10d43558-6f16-4ab4-9805-8ace4e6878b1%2FIMG_3546-15_42_41.jpg,0,https://nnts.imgix.net/uploadedfiles/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/PredictionImages/1c8b6668-0521-489f-92fc-6fbb17b82872.jpeg?expires=1711738818&or=0&s=c0d7fe38892ddaf42a3cd2b092854fae,https://app.nanonets.com/#/ocr/test/569ee93f-19d2-4d64-9584-e3e57a6d5cc9/f3e72ba3-ed30-11ee-a42c-221e535af36b,,Generator Controller   Model 710 |||| 02  4674 ! K + m AUTO,,,
